Probation Area,Area,Value,Period,Measure Type,Sex
NPS Midlands,E92000001,16721,day/2018-03-31,Count of offenders supervised,M
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,5576,day/2018-03-31,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,10483,day/2018-03-31,Count of offenders supervised,M
Durham Tees Valley CRC,E92000001,642,day/2018-03-31,Count of offenders supervised,F
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,1163,day/2018-03-31,Count of offenders supervised,F
Northumbria CRC,E92000001,570,day/2018-03-31,Count of offenders supervised,F
Northumbria CRC,E92000001,3059,day/2018-03-31,Count of offenders supervised,M
West Mercia and Warwickshire CRC,E92000001,505,day/2018-03-31,Count of offenders supervised,F
Merseyside CRC,E92000001,5344,day/2018-03-31,Count of offenders supervised,M
NPS Midlands,E92000001,776,day/2018-03-31,Count of offenders supervised,F
West Mercia and Warwickshire CRC,E92000001,2783,day/2018-03-31,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,1496,day/2018-03-31,Count of offenders supervised,F
NPS North West,E92000001,16405,day/2018-03-31,Count of offenders supervised,M
West Yorkshire CRC,E92000001,991,day/2018-03-31,Count of offenders supervised,F
Thames Valley CRC,E92000001,4123,day/2018-03-31,Count of offenders supervised,M
Norfolk and Suffolk CRC,E92000001,444,day/2018-03-31,Count of offenders supervised,F
NPS North East,E92000001,899,day/2018-03-31,Count of offenders supervised,F
"Dorset, Devon and Cornwall CRC",E92000001,3604,day/2018-03-31,Count of offenders supervised,M
Hampshire CRC,E92000001,566,day/2018-03-31,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,960,day/2018-03-31,Count of offenders supervised,F
Hampshire CRC,E92000001,3277,day/2018-03-31,Count of offenders supervised,M
Essex CRC,E92000001,573,day/2018-03-31,Count of offenders supervised,F
South Yorkshire CRC,E92000001,565,day/2018-03-31,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,4576,day/2018-03-31,Count of offenders supervised,M
Merseyside CRC,E92000001,921,day/2018-03-31,Count of offenders supervised,F
London CRC,E92000001,26193,day/2018-03-31,Count of offenders supervised,M
NPS London,E92000001,712,day/2018-03-31,Count of offenders supervised,F
Norfolk and Suffolk CRC,E92000001,2585,day/2018-03-31,Count of offenders supervised,M
NPS South West and South Central,E92000001,12477,day/2018-03-31,Count of offenders supervised,M
South Yorkshire CRC,E92000001,3362,day/2018-03-31,Count of offenders supervised,M
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,7581,day/2018-03-31,Count of offenders supervised,M
"Kent, Surrey and Sussex CRC",E92000001,1272,day/2018-03-31,Count of offenders supervised,F
Durham Tees Valley CRC,E92000001,3112,day/2018-03-31,Count of offenders supervised,M
NPS South East and Eastern,E92000001,15552,day/2018-03-31,Count of offenders supervised,M
Wales CRC,W92000004,1482,day/2018-03-31,Count of offenders supervised,F
Thames Valley CRC,E92000001,627,day/2018-03-31,Count of offenders supervised,F
"Dorset, Devon and Cornwall CRC",E92000001,590,day/2018-03-31,Count of offenders supervised,F
London CRC,E92000001,3455,day/2018-03-31,Count of offenders supervised,F
NPS North West,E92000001,722,day/2018-03-31,Count of offenders supervised,F
NPS South West and South Central,E92000001,538,day/2018-03-31,Count of offenders supervised,F
"Kent, Surrey and Sussex CRC",E92000001,7751,day/2018-03-31,Count of offenders supervised,M
Cumbria and Lancashire CRC,E92000001,4788,day/2018-03-31,Count of offenders supervised,M
Staffordshire and West Midlands CRC,E92000001,1773,day/2018-03-31,Count of offenders supervised,F
NPS North East,E92000001,17731,day/2018-03-31,Count of offenders supervised,M
NPS Wales,W92000004,6549,day/2018-03-31,Count of offenders supervised,M
Essex CRC,E92000001,3452,day/2018-03-31,Count of offenders supervised,M
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,793,day/2018-03-31,Count of offenders supervised,F
NPS South East and Eastern,E92000001,704,day/2018-03-31,Count of offenders supervised,F
West Yorkshire CRC,E92000001,7145,day/2018-03-31,Count of offenders supervised,M
NPS London,E92000001,16704,day/2018-03-31,Count of offenders supervised,M
NPS Wales,W92000004,329,day/2018-03-31,Count of offenders supervised,F
Wales CRC,W92000004,7620,day/2018-03-31,Count of offenders supervised,M
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,6596,day/2018-03-31,Count of offenders supervised,M
Cumbria and Lancashire CRC,E92000001,830,day/2018-03-31,Count of offenders supervised,F
Staffordshire and West Midlands CRC,E92000001,11758,day/2018-03-31,Count of offenders supervised,M
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,953,day/2018-03-31,Count of offenders supervised,F
NPS South East and Eastern,E92000001,15573,day/2018-06-30,Count of offenders supervised,M
Merseyside CRC,E92000001,898,day/2018-06-30,Count of offenders supervised,F
London CRC,E92000001,26774,day/2018-06-30,Count of offenders supervised,M
Northumbria CRC,E92000001,582,day/2018-06-30,Count of offenders supervised,F
Staffordshire and West Midlands CRC,E92000001,11228,day/2018-06-30,Count of offenders supervised,M
Norfolk and Suffolk CRC,E92000001,438,day/2018-06-30,Count of offenders supervised,F
Northumbria CRC,E92000001,3050,day/2018-06-30,Count of offenders supervised,M
South Yorkshire CRC,E92000001,3263,day/2018-06-30,Count of offenders supervised,M
Wales CRC,W92000004,1501,day/2018-06-30,Count of offenders supervised,F
Thames Valley CRC,E92000001,3844,day/2018-06-30,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,1543,day/2018-06-30,Count of offenders supervised,F
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,928,day/2018-06-30,Count of offenders supervised,F
Durham Tees Valley CRC,E92000001,641,day/2018-06-30,Count of offenders supervised,F
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,7578,day/2018-06-30,Count of offenders supervised,M
NPS Midlands,E92000001,16713,day/2018-06-30,Count of offenders supervised,M
NPS London,E92000001,700,day/2018-06-30,Count of offenders supervised,F
NPS Wales,W92000004,6525,day/2018-06-30,Count of offenders supervised,M
Durham Tees Valley CRC,E92000001,3088,day/2018-06-30,Count of offenders supervised,M
"Dorset, Devon and Cornwall CRC",E92000001,3578,day/2018-06-30,Count of offenders supervised,M
NPS Wales,W92000004,330,day/2018-06-30,Count of offenders supervised,F
Cheshire and Greater Manchester CRC,E92000001,10313,day/2018-06-30,Count of offenders supervised,M
NPS North East,E92000001,17656,day/2018-06-30,Count of offenders supervised,M
West Yorkshire CRC,E92000001,7050,day/2018-06-30,Count of offenders supervised,M
West Mercia and Warwickshire CRC,E92000001,2659,day/2018-06-30,Count of offenders supervised,M
Essex CRC,E92000001,563,day/2018-06-30,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,5543,day/2018-06-30,Count of offenders supervised,M
West Yorkshire CRC,E92000001,960,day/2018-06-30,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,946,day/2018-06-30,Count of offenders supervised,F
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,1168,day/2018-06-30,Count of offenders supervised,F
Hampshire CRC,E92000001,3289,day/2018-06-30,Count of offenders supervised,M
London CRC,E92000001,3428,day/2018-06-30,Count of offenders supervised,F
NPS London,E92000001,16689,day/2018-06-30,Count of offenders supervised,M
Thames Valley CRC,E92000001,581,day/2018-06-30,Count of offenders supervised,F
NPS North East,E92000001,888,day/2018-06-30,Count of offenders supervised,F
"Kent, Surrey and Sussex CRC",E92000001,7654,day/2018-06-30,Count of offenders supervised,M
Wales CRC,W92000004,7572,day/2018-06-30,Count of offenders supervised,M
NPS South West and South Central,E92000001,545,day/2018-06-30,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,802,day/2018-06-30,Count of offenders supervised,F
"Kent, Surrey and Sussex CRC",E92000001,1228,day/2018-06-30,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,4545,day/2018-06-30,Count of offenders supervised,M
Staffordshire and West Midlands CRC,E92000001,1659,day/2018-06-30,Count of offenders supervised,F
NPS South East and Eastern,E92000001,695,day/2018-06-30,Count of offenders supervised,F
South Yorkshire CRC,E92000001,549,day/2018-06-30,Count of offenders supervised,F
NPS South West and South Central,E92000001,12436,day/2018-06-30,Count of offenders supervised,M
Essex CRC,E92000001,3463,day/2018-06-30,Count of offenders supervised,M
NPS North West,E92000001,16454,day/2018-06-30,Count of offenders supervised,M
Cumbria and Lancashire CRC,E92000001,4655,day/2018-06-30,Count of offenders supervised,M
Norfolk and Suffolk CRC,E92000001,2563,day/2018-06-30,Count of offenders supervised,M
West Mercia and Warwickshire CRC,E92000001,473,day/2018-06-30,Count of offenders supervised,F
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,6487,day/2018-06-30,Count of offenders supervised,M
Hampshire CRC,E92000001,590,day/2018-06-30,Count of offenders supervised,F
Cumbria and Lancashire CRC,E92000001,857,day/2018-06-30,Count of offenders supervised,F
"Dorset, Devon and Cornwall CRC",E92000001,593,day/2018-06-30,Count of offenders supervised,F
NPS Midlands,E92000001,793,day/2018-06-30,Count of offenders supervised,F
NPS North West,E92000001,728,day/2018-06-30,Count of offenders supervised,F
Merseyside CRC,E92000001,5347,day/2018-06-30,Count of offenders supervised,M
South Yorkshire CRC,E92000001,537,day/2018-09-30,Count of offenders supervised,F
London CRC,E92000001,26244,day/2018-09-30,Count of offenders supervised,M
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,7489,day/2018-09-30,Count of offenders supervised,M
NPS Midlands,E92000001,779,day/2018-09-30,Count of offenders supervised,F
Merseyside CRC,E92000001,5268,day/2018-09-30,Count of offenders supervised,M
Hampshire CRC,E92000001,3340,day/2018-09-30,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,1522,day/2018-09-30,Count of offenders supervised,F
Wales CRC,W92000004,7394,day/2018-09-30,Count of offenders supervised,M
Norfolk and Suffolk CRC,E92000001,2542,day/2018-09-30,Count of offenders supervised,M
Thames Valley CRC,E92000001,593,day/2018-09-30,Count of offenders supervised,F
South Yorkshire CRC,E92000001,3162,day/2018-09-30,Count of offenders supervised,M
NPS North East,E92000001,892,day/2018-09-30,Count of offenders supervised,F
NPS Wales,W92000004,347,day/2018-09-30,Count of offenders supervised,F
NPS London,E92000001,16667,day/2018-09-30,Count of offenders supervised,M
NPS South East and Eastern,E92000001,15509,day/2018-09-30,Count of offenders supervised,M
West Yorkshire CRC,E92000001,955,day/2018-09-30,Count of offenders supervised,F
London CRC,E92000001,3305,day/2018-09-30,Count of offenders supervised,F
Essex CRC,E92000001,577,day/2018-09-30,Count of offenders supervised,F
Durham Tees Valley CRC,E92000001,650,day/2018-09-30,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,927,day/2018-09-30,Count of offenders supervised,F
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,6354,day/2018-09-30,Count of offenders supervised,M
Merseyside CRC,E92000001,888,day/2018-09-30,Count of offenders supervised,F
Cumbria and Lancashire CRC,E92000001,4629,day/2018-09-30,Count of offenders supervised,M
NPS Wales,W92000004,6499,day/2018-09-30,Count of offenders supervised,M
Northumbria CRC,E92000001,597,day/2018-09-30,Count of offenders supervised,F
Cheshire and Greater Manchester CRC,E92000001,10254,day/2018-09-30,Count of offenders supervised,M
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,1188,day/2018-09-30,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,5390,day/2018-09-30,Count of offenders supervised,M
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,880,day/2018-09-30,Count of offenders supervised,F
Staffordshire and West Midlands CRC,E92000001,10873,day/2018-09-30,Count of offenders supervised,M
NPS London,E92000001,692,day/2018-09-30,Count of offenders supervised,F
NPS South East and Eastern,E92000001,659,day/2018-09-30,Count of offenders supervised,F
NPS South West and South Central,E92000001,530,day/2018-09-30,Count of offenders supervised,F
NPS North East,E92000001,17674,day/2018-09-30,Count of offenders supervised,M
Wales CRC,W92000004,1505,day/2018-09-30,Count of offenders supervised,F
Staffordshire and West Midlands CRC,E92000001,1564,day/2018-09-30,Count of offenders supervised,F
West Mercia and Warwickshire CRC,E92000001,460,day/2018-09-30,Count of offenders supervised,F
"Dorset, Devon and Cornwall CRC",E92000001,3585,day/2018-09-30,Count of offenders supervised,M
Northumbria CRC,E92000001,3082,day/2018-09-30,Count of offenders supervised,M
Essex CRC,E92000001,3445,day/2018-09-30,Count of offenders supervised,M
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,806,day/2018-09-30,Count of offenders supervised,F
West Mercia and Warwickshire CRC,E92000001,2516,day/2018-09-30,Count of offenders supervised,M
Cumbria and Lancashire CRC,E92000001,873,day/2018-09-30,Count of offenders supervised,F
West Yorkshire CRC,E92000001,6876,day/2018-09-30,Count of offenders supervised,M
NPS North West,E92000001,733,day/2018-09-30,Count of offenders supervised,F
Norfolk and Suffolk CRC,E92000001,457,day/2018-09-30,Count of offenders supervised,F
"Kent, Surrey and Sussex CRC",E92000001,1188,day/2018-09-30,Count of offenders supervised,F
NPS South West and South Central,E92000001,12348,day/2018-09-30,Count of offenders supervised,M
NPS North West,E92000001,16452,day/2018-09-30,Count of offenders supervised,M
Hampshire CRC,E92000001,590,day/2018-09-30,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,4427,day/2018-09-30,Count of offenders supervised,M
"Kent, Surrey and Sussex CRC",E92000001,7464,day/2018-09-30,Count of offenders supervised,M
Durham Tees Valley CRC,E92000001,3069,day/2018-09-30,Count of offenders supervised,M
"Dorset, Devon and Cornwall CRC",E92000001,604,day/2018-09-30,Count of offenders supervised,F
Thames Valley CRC,E92000001,3719,day/2018-09-30,Count of offenders supervised,M
NPS Midlands,E92000001,16588,day/2018-09-30,Count of offenders supervised,M
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,7467,day/2018-12-31,Count of offenders supervised,M
Hampshire CRC,E92000001,577,day/2018-12-31,Count of offenders supervised,F
NPS North West,E92000001,16419,day/2018-12-31,Count of offenders supervised,M
London CRC,E92000001,25490,day/2018-12-31,Count of offenders supervised,M
NPS South East and Eastern,E92000001,15349,day/2018-12-31,Count of offenders supervised,M
West Yorkshire CRC,E92000001,962,day/2018-12-31,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,5459,day/2018-12-31,Count of offenders supervised,M
Hampshire CRC,E92000001,3328,day/2018-12-31,Count of offenders supervised,M
NPS South West and South Central,E92000001,528,day/2018-12-31,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,847,day/2018-12-31,Count of offenders supervised,F
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,1185,day/2018-12-31,Count of offenders supervised,F
NPS North East,E92000001,17623,day/2018-12-31,Count of offenders supervised,M
Essex CRC,E92000001,3485,day/2018-12-31,Count of offenders supervised,M
Wales CRC,W92000004,1550,day/2018-12-31,Count of offenders supervised,F
"Kent, Surrey and Sussex CRC",E92000001,7366,day/2018-12-31,Count of offenders supervised,M
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,852,day/2018-12-31,Count of offenders supervised,F
NPS North West,E92000001,711,day/2018-12-31,Count of offenders supervised,F
Staffordshire and West Midlands CRC,E92000001,1551,day/2018-12-31,Count of offenders supervised,F
West Yorkshire CRC,E92000001,6752,day/2018-12-31,Count of offenders supervised,M
Merseyside CRC,E92000001,5273,day/2018-12-31,Count of offenders supervised,M
Thames Valley CRC,E92000001,3687,day/2018-12-31,Count of offenders supervised,M
"Dorset, Devon and Cornwall CRC",E92000001,3611,day/2018-12-31,Count of offenders supervised,M
NPS Midlands,E92000001,16310,day/2018-12-31,Count of offenders supervised,M
Essex CRC,E92000001,587,day/2018-12-31,Count of offenders supervised,F
Cumbria and Lancashire CRC,E92000001,856,day/2018-12-31,Count of offenders supervised,F
Northumbria CRC,E92000001,629,day/2018-12-31,Count of offenders supervised,F
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,6330,day/2018-12-31,Count of offenders supervised,M
NPS Wales,W92000004,335,day/2018-12-31,Count of offenders supervised,F
Cheshire and Greater Manchester CRC,E92000001,9976,day/2018-12-31,Count of offenders supervised,M
NPS Wales,W92000004,6498,day/2018-12-31,Count of offenders supervised,M
Norfolk and Suffolk CRC,E92000001,464,day/2018-12-31,Count of offenders supervised,F
NPS North East,E92000001,864,day/2018-12-31,Count of offenders supervised,F
NPS Midlands,E92000001,736,day/2018-12-31,Count of offenders supervised,F
"Kent, Surrey and Sussex CRC",E92000001,1207,day/2018-12-31,Count of offenders supervised,F
Cumbria and Lancashire CRC,E92000001,4628,day/2018-12-31,Count of offenders supervised,M
Durham Tees Valley CRC,E92000001,3109,day/2018-12-31,Count of offenders supervised,M
"Dorset, Devon and Cornwall CRC",E92000001,596,day/2018-12-31,Count of offenders supervised,F
NPS South East and Eastern,E92000001,647,day/2018-12-31,Count of offenders supervised,F
NPS South West and South Central,E92000001,12239,day/2018-12-31,Count of offenders supervised,M
South Yorkshire CRC,E92000001,3127,day/2018-12-31,Count of offenders supervised,M
Thames Valley CRC,E92000001,562,day/2018-12-31,Count of offenders supervised,F
Staffordshire and West Midlands CRC,E92000001,10956,day/2018-12-31,Count of offenders supervised,M
NPS London,E92000001,694,day/2018-12-31,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,900,day/2018-12-31,Count of offenders supervised,F
Northumbria CRC,E92000001,3075,day/2018-12-31,Count of offenders supervised,M
West Mercia and Warwickshire CRC,E92000001,2467,day/2018-12-31,Count of offenders supervised,M
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,4368,day/2018-12-31,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,1525,day/2018-12-31,Count of offenders supervised,F
West Mercia and Warwickshire CRC,E92000001,444,day/2018-12-31,Count of offenders supervised,F
South Yorkshire CRC,E92000001,535,day/2018-12-31,Count of offenders supervised,F
Merseyside CRC,E92000001,917,day/2018-12-31,Count of offenders supervised,F
Durham Tees Valley CRC,E92000001,663,day/2018-12-31,Count of offenders supervised,F
London CRC,E92000001,3167,day/2018-12-31,Count of offenders supervised,F
Norfolk and Suffolk CRC,E92000001,2554,day/2018-12-31,Count of offenders supervised,M
Wales CRC,W92000004,7377,day/2018-12-31,Count of offenders supervised,M
NPS London,E92000001,16596,day/2018-12-31,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,1522,day/2019-03-31,Count of offenders supervised,F
NPS Midlands,E92000001,16438,day/2019-03-31,Count of offenders supervised,M
West Mercia and Warwickshire CRC,E92000001,2459,day/2019-03-31,Count of offenders supervised,M
Staffordshire and West Midlands CRC,E92000001,1579,day/2019-03-31,Count of offenders supervised,F
Hampshire CRC,E92000001,3338,day/2019-03-31,Count of offenders supervised,M
NPS North East,E92000001,869,day/2019-03-31,Count of offenders supervised,F
Thames Valley CRC,E92000001,549,day/2019-03-31,Count of offenders supervised,F
Cumbria and Lancashire CRC,E92000001,836,day/2019-03-31,Count of offenders supervised,F
Essex CRC,E92000001,3478,day/2019-03-31,Count of offenders supervised,M
NPS London,E92000001,652,day/2019-03-31,Count of offenders supervised,F
NPS South East and Eastern,E92000001,659,day/2019-03-31,Count of offenders supervised,F
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,1168,day/2019-03-31,Count of offenders supervised,F
Staffordshire and West Midlands CRC,E92000001,11196,day/2019-03-31,Count of offenders supervised,M
Northumbria CRC,E92000001,605,day/2019-03-31,Count of offenders supervised,F
Merseyside CRC,E92000001,922,day/2019-03-31,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,5439,day/2019-03-31,Count of offenders supervised,M
"Dorset, Devon and Cornwall CRC",E92000001,629,day/2019-03-31,Count of offenders supervised,F
Essex CRC,E92000001,582,day/2019-03-31,Count of offenders supervised,F
"Kent, Surrey and Sussex CRC",E92000001,7117,day/2019-03-31,Count of offenders supervised,M
London CRC,E92000001,3108,day/2019-03-31,Count of offenders supervised,F
NPS Wales,W92000004,341,day/2019-03-31,Count of offenders supervised,F
Durham Tees Valley CRC,E92000001,673,day/2019-03-31,Count of offenders supervised,F
Norfolk and Suffolk CRC,E92000001,436,day/2019-03-31,Count of offenders supervised,F
"Dorset, Devon and Cornwall CRC",E92000001,3572,day/2019-03-31,Count of offenders supervised,M
Norfolk and Suffolk CRC,E92000001,2492,day/2019-03-31,Count of offenders supervised,M
London CRC,E92000001,25191,day/2019-03-31,Count of offenders supervised,M
NPS North East,E92000001,17837,day/2019-03-31,Count of offenders supervised,M
Merseyside CRC,E92000001,5221,day/2019-03-31,Count of offenders supervised,M
Hampshire CRC,E92000001,582,day/2019-03-31,Count of offenders supervised,F
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,7359,day/2019-03-31,Count of offenders supervised,M
West Mercia and Warwickshire CRC,E92000001,416,day/2019-03-31,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,866,day/2019-03-31,Count of offenders supervised,F
Wales CRC,W92000004,1553,day/2019-03-31,Count of offenders supervised,F
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,6208,day/2019-03-31,Count of offenders supervised,M
NPS South East and Eastern,E92000001,15398,day/2019-03-31,Count of offenders supervised,M
West Yorkshire CRC,E92000001,6566,day/2019-03-31,Count of offenders supervised,M
NPS North West,E92000001,16386,day/2019-03-31,Count of offenders supervised,M
West Yorkshire CRC,E92000001,986,day/2019-03-31,Count of offenders supervised,F
NPS London,E92000001,16498,day/2019-03-31,Count of offenders supervised,M
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",E92000001,835,day/2019-03-31,Count of offenders supervised,F
NPS Wales,W92000004,6488,day/2019-03-31,Count of offenders supervised,M
Durham Tees Valley CRC,E92000001,3122,day/2019-03-31,Count of offenders supervised,M
NPS Midlands,E92000001,747,day/2019-03-31,Count of offenders supervised,F
Cumbria and Lancashire CRC,E92000001,4515,day/2019-03-31,Count of offenders supervised,M
South Yorkshire CRC,E92000001,528,day/2019-03-31,Count of offenders supervised,F
South Yorkshire CRC,E92000001,3157,day/2019-03-31,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,9969,day/2019-03-31,Count of offenders supervised,M
Wales CRC,W92000004,7319,day/2019-03-31,Count of offenders supervised,M
NPS South West and South Central,E92000001,558,day/2019-03-31,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,4372,day/2019-03-31,Count of offenders supervised,M
NPS South West and South Central,E92000001,12469,day/2019-03-31,Count of offenders supervised,M
"Kent, Surrey and Sussex CRC",E92000001,1148,day/2019-03-31,Count of offenders supervised,F
NPS North West,E92000001,703,day/2019-03-31,Count of offenders supervised,F
Thames Valley CRC,E92000001,3643,day/2019-03-31,Count of offenders supervised,M
Northumbria CRC,E92000001,3079,day/2019-03-31,Count of offenders supervised,M
